id	 x	 y	 z	from	to	 sample_length	 moisture	 CO2	 tefra	lithological_code_ALPHA	 KThI	lithological_code
174/288	-12613	19007	672.6	0	0.5	0.5	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	0.5	3	2.5	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	3	15	12	NaN	NaN	NaN	HD	NaN	3
174/288	-12613	19007	672.6	15	17	2	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	17	22	5	NaN	NaN	NaN	SG	NaN	5
174/288	-12613	19007	672.6	22	36.5	14.5	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	36.5	45.5	9	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	45.5	66	20.5	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	66	68.7	2.7	NaN	NaN	NaN	SG	NaN	5
174/288	-12613	19007	672.6	68.7	78.5	9.8	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	78.5	83	4.5	NaN	NaN	NaN	SG	NaN	5
174/288	-12613	19007	672.6	83	97	14	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	97	100	3	50.4	NaN	39.61	CO	1415	2
174/288	-12613	19007	672.6	100	101	1	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	101	103	2	51.2	NaN	26.81	CO	1730	2
174/288	-12613	19007	672.6	103	105.8	2.8	56.6	NaN	28.61	CO	1430	2
174/288	-12613	19007	672.6	105.8	107.1	1.3	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	107.1	107.8	0.7	57.5	NaN	25.61	CO	1470	2
174/288	-12613	19007	672.6	107.8	108.6	0.8	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	108.6	109.5	0.9	58.8	NaN	18.71	CO	1580	2
174/288	-12613	19007	672.6	109.5	110.2	0.7	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	110.2	111.1	0.9	60	NaN	20.11	CO	1485	2
174/288	-12613	19007	672.6	111.1	111.9	0.8	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	111.9	112.75	0.85	59.8	NaN	18.01	CO	1545	2
174/288	-12613	19007	672.6	112.75	113	0.25	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	113	115	2	56	NaN	31.71	CO	1400	2
174/288	-12613	19007	672.6	115	116.4	1.4	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	116.4	117.6	1.2	60.7	NaN	23.11	CO	1375	2
174/288	-12613	19007	672.6	117.6	122	4.4	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	122	122.6	0.6	57	NaN	13.11	CO	1810	2
174/288	-12613	19007	672.6	122.6	123	0.4	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	123	126	3	59.2	NaN	15.51	CO	1635	2
174/288	-12613	19007	672.6	126	127.3	1.3	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	127.3	129.4	2.1	60.1	NaN	17.71	CO	1540	2
174/288	-12613	19007	672.6	129.4	130.1	0.7	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	130.1	133.1	3	60	NaN	17.51	CO	1565	2
174/288	-12613	19007	672.6	133.1	136.1	3	57.5	NaN	22.71	CO	1560	2
174/288	-12613	19007	672.6	136.1	139.1	3	57.4	NaN	25.11	CO	1510	2
174/288	-12613	19007	672.6	139.1	140.1	1	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	140.1	141.25	1.15	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	141.25	143	1.75	57.3	NaN	24.31	CO	1530	2
174/288	-12613	19007	672.6	143	145.1	2.1	56.7	NaN	33.71	CO	1375	2
174/288	-12613	19007	672.6	145.1	151.3	6.2	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	151.3	152.1	0.8	58.2	NaN	18.61	CO	1535	2
174/288	-12613	19007	672.6	152.1	152.5	0.4	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	152.5	155.1	2.6	55.8	NaN	27.31	CO	1520	2
174/288	-12613	19007	672.6	155.1	158.1	3	54.6	NaN	31.51	CO	1465	2
174/288	-12613	19007	672.6	158.1	160.1	2	57.2	NaN	23.91	CO	1535	2
174/288	-12613	19007	672.6	160.1	160.4	0.3	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	160.4	162.9	2.5	59.6	NaN	21.51	CO	1470	2
174/288	-12613	19007	672.6	162.9	163.1	0.2	NaN	NaN	NaN	SG	NaN	5
174/288	-12613	19007	672.6	163.1	163.6	0.5	61.1	NaN	15.31	CO	1525	2
174/288	-12613	19007	672.6	163.6	164.1	0.5	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	164.1	167.1	3	59.3	NaN	19.71	CO	1530	2
174/288	-12613	19007	672.6	167.1	169.1	2	54.8	NaN	33.51	CO	1390	2
174/288	-12613	19007	672.6	169.1	169.6	0.5	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	169.6	171.1	1.5	57	NaN	26.01	CO	1410	2
174/288	-12613	19007	672.6	171.1	172.5	1.4	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	172.5	174.6	2.1	60.5	NaN	20.01	CO	1445	2
174/288	-12613	19007	672.6	174.6	177	2.4	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	0	0.2	0.2	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	0.2	17.2	17	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	17.2	18.7	1.5	NaN	NaN	NaN	HD	NaN	3
190/296	-12901	18149	663.45	18.7	24.8	6.1	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	24.8	28.4	3.6	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	28.4	29.6	1.2	NaN	NaN	NaN	SG	NaN	5
190/296	-12901	18149	663.45	29.6	30.4	0.8	NaN	NaN	NaN	HD	NaN	3
190/296	-12901	18149	663.45	30.4	31.8	1.4	NaN	NaN	NaN	SG	NaN	5
190/296	-12901	18149	663.45	31.8	32	0.2	NaN	NaN	NaN	HD	NaN	3
190/296	-12901	18149	663.45	32	35	3	NaN	NaN	NaN	SG	NaN	5
190/296	-12901	18149	663.45	35	39	4	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	39	45	6	NaN	NaN	NaN	SG	NaN	5
190/296	-12901	18149	663.45	45	54	9	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	54	54.6	0.6	43	36.1	63.3	AL	479	1
190/296	-12901	18149	663.45	54.6	55	0.4	44	33.9	60.9	AL	714	1
190/296	-12901	18149	663.45	55	56	1	41.1	33.2	56.3	AL	916	1
190/296	-12901	18149	663.45	56	58.8	2.8	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	58.8	59.2	0.4	54	14.4	31.31	CO	1474	2
190/296	-12901	18149	663.45	59.2	60.9	1.7	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	60.9	62.1	1.2	54.3	15.2	33.21	CO	1451	2
190/296	-12901	18149	663.45	62.1	68	5.9	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	68	69	1	45.3	30.4	55.51	AL	1002	1
190/296	-12901	18149	663.45	69	70	1	54.2	18.2	39.71	CO	1246	2
190/296	-12901	18149	663.45	70	71	1	53.6	16.6	35.81	CO	1391	2
190/296	-12901	18149	663.45	71	72	1	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	72	72.2	0.2	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	72.2	73.5	1.3	53.3	14.9	32.01	CO	1597	2
190/296	-12901	18149	663.45	73.5	74	0.5	37.9	32.8	52.8	MG	331	4
190/296	-12901	18149	663.45	74	75	1	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	75	76.1	1.1	55.5	15.3	34.41	CO	1285	2
190/296	-12901	18149	663.45	76.1	76.6	0.5	53.3	16	33.11	CO	1084	2
190/296	-12901	18149	663.45	76.6	77.6	1	59.4	7.6	18.61	CO	1536	2
190/296	-12901	18149	663.45	77.6	78	0.4	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	78	78.5	0.5	60	10.8	27.61	CO	1081	2
190/296	-12901	18149	663.45	78.5	79.2	0.7	NaN	NaN	NaN	AL	NaN	1
190/296	-12901	18149	663.45	79.2	80.4	1.2	54.8	12.3	27.21	CO	1529	2
190/296	-12901	18149	663.45	80.4	81.2	0.8	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	81.2	82	0.8	55.8	9.9	22.41	CO	1681	2
190/296	-12901	18149	663.45	82	82.4	0.4	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	82.4	84	1.6	53.8	13	28.01	CO	1607	2
190/296	-12901	18149	663.45	84	85.4	1.4	55.6	10.2	23.01	CO	1701	2
190/296	-12901	18149	663.45	85.4	87	1.6	53.1	17.3	36.8	CO	925	2
190/296	-12901	18149	663.45	87	90	3	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	90	90.25	0.25	54.4	11.1	24.31	CO	1575	2
190/296	-12901	18149	663.45	90.25	90.5	0.25	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	90.5	91.3	0.8	58.3	6.3	15.21	CO	1708	2
190/296	-12901	18149	663.45	91.3	92.35	1.05	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	92.35	93	0.65	54.3	14.6	31.91	CO	1432	2
190/296	-12901	18149	663.45	93	94.1	1.1	58.1	8	19.01	CO	1606	2
190/296	-12901	18149	663.45	94.1	95	0.9	56.8	10.7	24.81	CO	1230	2
190/296	-12901	18149	663.45	95	96	1	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	96	96.8	0.8	58.6	7.3	17.51	CO	1549	2
190/296	-12901	18149	663.45	96.8	97.3	0.5	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	97.3	99	1.7	59.7	7.5	18.61	CO	1519	2
190/296	-12901	18149	663.45	99	99.35	0.35	58.3	7.6	18.31	CO	1597	2
190/296	-12901	18149	663.45	99.35	99.8	0.45	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	99.8	101	1.2	59.7	6.8	16.91	CO	1622	2
190/296	-12901	18149	663.45	101	102	1	60	9.1	22.81	CO	1433	2
190/296	-12901	18149	663.45	102	104.1	2.1	58.8	8.5	20.71	CO	1550	2
190/296	-12901	18149	663.45	104.1	105	0.9	48.7	28.4	55.4	AL	851	1
190/296	-12901	18149	663.45	105	106	1	51.5	18.4	38.11	CO	1389	2
190/296	-12901	18149	663.45	106	108	2	52.8	20.8	44.11	CO	1057	2
190/296	-12901	18149	663.45	108	109.8	1.8	52.2	18.9	39.61	CO	1287	2
190/296	-12901	18149	663.45	109.8	110.15	0.35	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	110.15	110.45	0.3	55	16.2	36.01	CO	1327	2
190/296	-12901	18149	663.45	110.45	111	0.55	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	111	112.25	1.25	42.6	33.5	58.4	AL	790	1
190/296	-12901	18149	663.45	112.25	113.2	0.95	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	113.2	114	0.8	47.8	25.9	49.61	AL	1009	1
190/296	-12901	18149	663.45	114	115.5	1.5	47.3	22	41.71	CO	1340	2
190/296	-12901	18149	663.45	115.5	117	1.5	45.7	29.9	55	AL	749	1
190/296	-12901	18149	663.45	117	119.1	2.1	53.3	14.5	31.11	CO	1456	2
190/296	-12901	18149	663.45	119.1	120	0.9	61	7.7	19.91	CO	1436	2
190/296	-12901	18149	663.45	120	122.1	2.1	55.8	10.7	24.31	CO	1574	2
190/296	-12901	18149	663.45	122.1	123	0.9	45.8	23	42.4	MG	675	4
190/296	-12901	18149	663.45	123	123.3	0.3	56	9.5	21.71	CO	1582	2
190/296	-12901	18149	663.45	123.3	123.6	0.3	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	123.6	125.2	1.6	57.3	10.3	24.21	CO	1194	2
190/296	-12901	18149	663.45	125.2	126	0.8	52.4	18.3	38.5	MG	633	4
190/296	-12901	18149	663.45	126	127.8	1.8	59.2	6.8	16.71	CO	1561	2
190/296	-12901	18149	663.45	127.8	129	1.2	54.3	16.2	35.5	MG	791	4
190/296	-12901	18149	663.45	129	130.3	1.3	58.9	7.5	17.91	CO	1643	2
190/296	-12901	18149	663.45	130.3	132	1.7	56.3	14	32.11	CO	1222	2
190/296	-12901	18149	663.45	132	134.3	2.3	59.4	4.3	10.71	CO	1760	2
190/296	-12901	18149	663.45	134.3	135	0.7	56.7	13.2	30.61	CO	1087	2
190/296	-12901	18149	663.45	135	136.5	1.5	61	6.3	16.21	CO	1531	2
190/296	-12901	18149	663.45	136.5	138	1.5	55.2	16.7	37.31	CO	1158	2
190/296	-12901	18149	663.45	138	138.3	0.3	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	138.3	138.9	0.6	60.9	5.2	13.41	CO	1589	2
190/296	-12901	18149	663.45	138.9	139.3	0.4	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	139.3	141	1.7	52.1	18.4	38.8	MG	712	4
190/296	-12901	18149	663.45	141	142.35	1.35	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	142.35	144	1.65	52.5	16.2	34.1	MG	953	4
190/296	-12901	18149	663.45	144	144.4	0.4	57.8	5.4	12.71	CO	1768	2
190/296	-12901	18149	663.45	144.4	145.4	1	NaN	NaN	NaN	MG	NaN	4
190/296	-12901	18149	663.45	145.4	156	10.6	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	0	0.5	0.5	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	0.5	10.5	10	NaN	NaN	NaN	HD	NaN	3
182/284	-13032	18848	667.2	10.5	24.5	14	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	24.5	34	9.5	NaN	NaN	NaN	SG	NaN	5
182/284	-13032	18848	667.2	34	39	5	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	39	76.5	37.5	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	76.5	78.5	2	NaN	NaN	NaN	SG	NaN	5
182/284	-13032	18848	667.2	78.5	91.35	12.85	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	91.35	92.3	0.95	54	NaN	34.31	CO	1425	2
182/284	-13032	18848	667.2	92.3	93.75	1.45	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	93.75	94.1	0.35	52.1	NaN	35	CO	NaN	2
182/284	-13032	18848	667.2	94.1	94.5	0.4	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	94.5	95.25	0.75	57.5	NaN	21.31	CO	1585	2
182/284	-13032	18848	667.2	95.25	95.75	0.5	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	95.75	96.35	0.6	54.2	NaN	21.41	CO	1760	2
182/284	-13032	18848	667.2	96.35	96.75	0.4	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	96.75	97.95	1.2	56.7	NaN	31.31	CO	1375	2
182/284	-13032	18848	667.2	97.95	98.4	0.45	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	98.4	100.6	2.2	58.3	NaN	26.21	CO	1430	2
182/284	-13032	18848	667.2	100.6	101.1	0.5	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	101.1	103.1	2	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	103.1	105.3	2.2	61.2	NaN	20.21	CO	1425	2
182/284	-13032	18848	667.2	105.3	105.6	0.3	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	105.6	106.2	0.6	58.4	NaN	30.51	CO	1325	2
182/284	-13032	18848	667.2	106.2	107.7	1.5	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	107.7	108.4	0.7	60.8	NaN	27.41	CO	1285	2
182/284	-13032	18848	667.2	108.4	109.1	0.7	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	109.1	109.3	0.2	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	109.3	111.7	2.4	59.6	NaN	31.81	CO	1240	2
182/284	-13032	18848	667.2	111.7	112.1	0.4	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	112.1	112.6	0.5	60.4	NaN	36.11	CO	1110	2
182/284	-13032	18848	667.2	112.6	123.75	11.15	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	123.75	126.7	2.95	58.2	NaN	25.01	CO	1465	2
182/284	-13032	18848	667.2	126.7	127.2	0.5	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	127.2	127.8	0.6	62.4	NaN	18.41	CO	1405	2
182/284	-13032	18848	667.2	127.8	128.8	1	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	128.8	130.9	2.1	60.7	NaN	15.71	CO	1550	2
182/284	-13032	18848	667.2	130.9	131.75	0.85	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	131.75	132.1	0.35	52.1	NaN	35	CO	NaN	2
182/284	-13032	18848	667.2	132.1	132.3	0.2	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	132.3	134.1	1.8	60.7	NaN	20.81	CO	1435	2
182/284	-13032	18848	667.2	134.1	136.1	2	61.5	NaN	22.91	CO	1350	2
182/284	-13032	18848	667.2	136.1	139.1	3	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	139.1	142.1	3	60.5	NaN	26.51	CO	1310	2
182/284	-13032	18848	667.2	142.1	147.3	5.2	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	147.3	148.1	0.8	54	NaN	33.21	CO	1445	2
182/284	-13032	18848	667.2	148.1	148.8	0.7	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	148.8	151.1	2.3	59.4	NaN	21.51	CO	1490	2
182/284	-13032	18848	667.2	151.1	153.5	2.4	59	NaN	25.51	CO	1410	2
182/284	-13032	18848	667.2	153.5	154.1	0.6	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	154.1	156	1.9	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	156	157.2	1.2	56.8	NaN	31.51	CO	1370	2
182/284	-13032	18848	667.2	157.2	159.7	2.5	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	159.7	161.5	1.8	61	NaN	20.41	CO	1430	2
182/284	-13032	18848	667.2	161.5	163.35	1.85	60	NaN	23.91	CO	1400	2
182/284	-13032	18848	667.2	163.35	163.9	0.55	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	163.9	165.3	1.4	60.2	NaN	23.41	CO	1405	2
182/284	-13032	18848	667.2	165.3	165.5	0.2	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	165.5	168.5	3	58.5	NaN	26.11	CO	1420	2
182/284	-13032	18848	667.2	168.5	168.65	0.15	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	168.65	168.8	0.15	NaN	NaN	NaN	SG	NaN	5
182/284	-13032	18848	667.2	168.8	171.5	2.7	59.2	NaN	21.51	CO	1490	2
182/284	-13032	18848	667.2	171.5	174.4	2.9	58.3	NaN	25.41	CO	1445	2
182/284	-13032	18848	667.2	174.4	175.1	0.7	NaN	NaN	NaN	AL	NaN	1
182/284	-13032	18848	667.2	175.1	176.6	1.5	60	NaN	28.41	CO	1295	2
182/284	-13032	18848	667.2	176.6	177.1	0.5	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	177.1	177.85	0.75	60.2	NaN	17.71	CO	1530	2
182/284	-13032	18848	667.2	177.85	178.45	0.6	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	178.45	179.1	0.65	60	NaN	24.41	CO	1385	2
182/284	-13032	18848	667.2	179.1	181.3	2.2	NaN	NaN	NaN	MG	NaN	4
182/284	-13032	18848	667.2	181.3	183.1	1.8	60	NaN	21.61	CO	1445	2
182/284	-13032	18848	667.2	183.1	185.1	2	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	0	0.4	0.4	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	0.4	21.5	21.1	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	21.5	30.8	9.3	NaN	NaN	NaN	SG	NaN	5
194/288	-13313	18291	662.1	30.8	41.5	10.7	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	41.5	45.5	4	NaN	NaN	NaN	SG	NaN	5
194/288	-13313	18291	662.1	45.5	83	37.5	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	83	85.5	2.5	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	85.5	87.05	1.55	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	87.05	87.6	0.55	60	NaN	23.51	CO	1410	2
194/288	-13313	18291	662.1	87.6	88	0.4	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	88	89.1	1.1	58.4	NaN	31.11	CO	1315	2
194/288	-13313	18291	662.1	89.1	90	0.9	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	90	90.9	0.9	58	NaN	35.11	CO	1230	2
194/288	-13313	18291	662.1	90.9	92	1.1	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	92	92.6	0.6	59.5	NaN	28.41	CO	1315	2
194/288	-13313	18291	662.1	92.6	93.15	0.55	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	93.15	93.75	0.6	56	NaN	36.01	CO	1300	2
194/288	-13313	18291	662.1	93.75	94.25	0.5	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	94.25	96.9	2.65	57.5	NaN	33.01	CO	1300	2
194/288	-13313	18291	662.1	96.9	108.05	11.15	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	108.05	110.8	2.75	60.4	NaN	26.01	CO	1335	2
194/288	-13313	18291	662.1	110.8	111	0.2	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	111	111.5	0.5	60.8	NaN	20.11	CO	1445	2
194/288	-13313	18291	662.1	111.5	112.5	1	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	112.5	114.7	2.2	60.3	NaN	23.31	CO	1405	2
194/288	-13313	18291	662.1	114.7	115.35	0.65	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	115.35	118.5	3.15	58.9	NaN	28.31	CO	1355	2
194/288	-13313	18291	662.1	118.5	120.5	2	57.6	NaN	33.31	CO	1290	2
194/288	-13313	18291	662.1	120.5	128.8	8.3	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	128.8	131.5	2.7	56.3	NaN	31.91	CO	1380	2
194/288	-13313	18291	662.1	131.5	133.5	2	60	NaN	25.51	CO	1370	2
194/288	-13313	18291	662.1	133.5	135.7	2.2	60.8	NaN	27.41	CO	1285	2
194/288	-13313	18291	662.1	135.7	137.8	2.1	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	137.8	138.65	0.85	56.9	NaN	34.21	CO	1300	2
194/288	-13313	18291	662.1	138.65	138.9	0.25	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	138.9	139.5	0.6	57.6	NaN	32.01	CO	1325	2
194/288	-13313	18291	662.1	139.5	140.65	1.15	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	140.65	143.5	2.85	60.5	NaN	25.41	CO	1350	2
194/288	-13313	18291	662.1	143.5	145.5	2	58.5	NaN	29.21	CO	1345	2
194/288	-13313	18291	662.1	145.5	148.5	3	58	NaN	35.61	CO	1220	2
194/288	-13313	18291	662.1	148.5	149.1	0.6	NaN	NaN	NaN	MG	NaN	4
194/288	-13313	18291	662.1	149.1	150	0.9	57.9	NaN	32.41	CO	1295	2
194/288	-13313	18291	662.1	150	151.8	1.8	NaN	NaN	NaN	AL	NaN	1
194/288	-13313	18291	662.1	151.8	151.9	0.1	NaN	NaN	NaN	SG	NaN	5
194/288	-13313	18291	662.1	151.9	154.5	2.6	59.2	NaN	29.11	CO	1320	2
194/288	-13313	18291	662.1	154.5	156.5	2	50	NaN	26.71	CO	1335	2
194/288	-13313	18291	662.1	156.5	164	7.5	NaN	NaN	NaN	MG	NaN	4
204/290	-13560	17800	660.8	0	0.4	0.4	NaN	NaN	NaN	AL	NaN	1
204/290	-13560	17800	660.8	0.4	16.2	15.8	NaN	NaN	NaN	AL	NaN	1
204/290	-13560	17800	660.8	16.2	16.6	0.4	NaN	NaN	NaN	AL	NaN	1
204/290	-13560	17800	660.8	16.6	18	1.4	NaN	NaN	NaN	SG	NaN	5
204/290	-13560	17800	660.8	18	18.5	0.5	NaN	NaN	NaN	HD	NaN	3
204/290	-13560	17800	660.8	18.5	19.4	0.9	NaN	NaN	NaN	SG	NaN	5
204/290	-13560	17800	660.8	19.4	22.8	3.4	NaN	NaN	NaN	HD	NaN	3
204/290	-13560	17800	660.8	22.8	27.2	4.4	NaN	NaN	NaN	HD	NaN	3
204/290	-13560	17800	660.8	27.2	28.6	1.4	NaN	NaN	NaN	AL	NaN	1
204/290	-13560	17800	660.8	28.6	30.4	1.8	NaN	NaN	NaN	HD	NaN	3
204/290	-13560	17800	660.8	30.4	45	14.6	NaN	NaN	NaN	AL	NaN	1
204/290	-13560	17800	660.8	45	45.4	0.4	NaN	NaN	NaN	SG	NaN	5
204/290	-13560	17800	660.8	45.4	49	3.6	NaN	NaN	NaN	HD	NaN	3
204/290	-13560	17800	660.8	49	85.6	36.6	NaN	NaN	NaN	AL	NaN	1
204/290	-13560	17800	660.8	85.6	85.8	0.2	39.6	37.1	18.9	CO	NaN	2
204/290	-13560	17800	660.8	85.8	86.8	1	50.2	21.3	42.81	AL	1015	1
204/290	-13560	17800	660.8	86.8	87.5	0.7	NaN	NaN	NaN	AL	NaN	1
204/290	-13560	17800	660.8	87.5	88	0.5	NaN	NaN	NaN	MG	NaN	4
204/290	-13560	17800	660.8	88	89	1	NaN	NaN	NaN	AL	NaN	1
204/290	-13560	17800	660.8	89	90	1	55.3	16.9	37.71	CO	1139	2
204/290	-13560	17800	660.8	90	91	1	56	11.6	26.41	CO	1423	2
204/290	-13560	17800	660.8	91	91.9	0.9	56.5	9.8	22.51	CO	1462	2
204/290	-13560	17800	660.8	91.9	92.5	0.6	NaN	NaN	NaN	MG	NaN	4
204/290	-13560	17800	660.8	92.5	93	0.5	53	23.1	49.1	MG	317	4
204/290	-13560	17800	660.8	93	93.8	0.8	44.5	30.4	54.7	MG	98	4
204/290	-13560	17800	660.8	93.8	94.4	0.6	NaN	NaN	NaN	MG	NaN	4
204/290	-13560	17800	660.8	94.4	96	1.6	55.1	17.4	38.81	CO	1011	2
204/290	-13560	17800	660.8	96	98	2	54.5	16.2	35.51	CO	1076	2
204/290	-13560	17800	660.8	98	99	1	NaN	NaN	NaN	AL	NaN	1
